customer_id,customer_name,gender,age,city,state
1,Ishwar Kothari,Male,25,Goa,Goa
2,Ganga Mutti,Female,47,Nagpur,Maharashtra
3,Unni Hayre,Female,46,Surat,Gujarat
4,Mohini Das,Female,53,Patna,Bihar
5,Vasatika Nazareth,Female,28,Goa,Goa
6,Falguni Amble,Female,34,Ahmedabad,Gujarat
7,Nachiket Bhargava,Male,58,Patna,Bihar
8,Zilmil Hora,Female,51,Surat,Gujarat
9,Darika Chaudhary,Female,33,Indore,Madhya Pradesh
10,Charvi Basu,Female,22,Ahmedabad,Gujarat
11,Panini Kumar,Female,35,Delhi,Delhi
12,Bhavani Gera,Female,52,Hyderabad,Telangana
13,Ishaan Thakur,Male,27,Nagpur,Maharashtra
14,Nakul Sawhney,Male,62,Chennai,Tamil Nadu
15,Ekalinga Sidhu,Male,31,Kolkata,West Bengal
16,Ayush Mangal,Male,44,Chennai,Tamil Nadu
17,Pavani Batra,Female,47,Jaipur,Rajasthan
18,Charvi Sani,Female,31,Pune,Maharashtra
19,Yahvi Mohan,Female,55,Chennai,Tamil Nadu
20,Wyatt Kumer,Male,54,Patna,Bihar
21,Vansha Srinivas,Female,18,Ahmedabad,Gujarat
22,Bishakha Nadig,Female,42,Bengaluru,Karnataka
23,Jyoti Raj,Female,65,Jaipur,Rajasthan
24,Balveer Prabhakar,Male,32,Ahmedabad,Gujarat
25,Rajata Wadhwa,Female,49,Chennai,Tamil Nadu
26,Bachittar Khurana,Male,39,Chennai,Tamil Nadu
27,Garima Mane,Female,28,Kolkata,West Bengal
28,Radhika Iyengar,Female,26,Goa,Goa
29,Krish Varughese,Male,43,Goa,Goa
30,Vedant Nagy,Male,59,Mumbai,Maharashtra
31,Eesha Iyengar,Female,47,Nagpur,Maharashtra
32,Charles Sachdeva,Male,34,Pune,Maharashtra
33,Dayita Shukla,Female,31,Hyderabad,Telangana
34,Suhani Saran,Female,39,Hyderabad,Telangana
35,Osha D’Alia,Female,44,Bengaluru,Karnataka
36,Mugdha Rau,Female,23,Patna,Bihar
37,Irya Dixit,Female,65,Pune,Maharashtra
38,Gavin Ahuja,Male,32,Hyderabad,Telangana
39,Yash Mohan,Male,59,Surat,Gujarat
40,Tanish Rege,Male,19,Surat,Gujarat
41,Advay Chowdhury,Male,19,Delhi,Delhi
42,Christopher Bose,Male,26,Delhi,Delhi
43,Jeevika Parikh,Female,25,Indore,Madhya Pradesh
44,Logan Verma,Male,62,Ahmedabad,Gujarat
45,Yutika Chadha,Female,41,Surat,Gujarat
46,Manthan Mutti,Male,56,Lucknow,Uttar Pradesh
47,Anthony Raman,Male,28,Surat,Gujarat
48,Charvi Mall,Female,55,Mumbai,Maharashtra
49,Nachiket Thaman,Male,37,Goa,Goa
50,Darika Dada,Female,63,Chennai,Tamil Nadu
51,Finn Golla,Male,55,Mumbai,Maharashtra
52,Balveer Tailor,Male,62,Mumbai,Maharashtra
53,Yashawini Chaudhary,Female,61,Patna,Bihar
54,Ansh Singhal,Male,54,Surat,Gujarat
55,Wridesh Nagy,Male,52,Hyderabad,Telangana
56,Libni Borah,Female,41,Indore,Madhya Pradesh
57,Girindra Desai,Male,59,Jaipur,Rajasthan
58,Forum Hari,Female,44,Pune,Maharashtra
59,Netra Kunda,Female,45,Mumbai,Maharashtra
60,Jeevika Vaidya,Female,47,Indore,Madhya Pradesh
61,Alexander Soni,Male,29,Chennai,Tamil Nadu
62,Brinda Bail,Female,52,Lucknow,Uttar Pradesh
63,Meera Shah,Female,45,Ahmedabad,Gujarat
64,Vinaya Gopal,Female,33,Hyderabad,Telangana
65,Advay Chaudhary,Male,46,Bengaluru,Karnataka
